seqtag,segtag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
O,B-Titre,VILLE,1,612,1008,Verdana-Bold,#000,108,141,97,107,97,,,
O,I-Titre,DE,1,612,1008,Verdana-Bold,#000,144,159,97,107,97,,,
O,I-Titre,SAINTE-ADÈLE,1,612,1008,Verdana-Bold,#000,163,246,97,107,97,,,
O,B-Titre,PROVINCE,1,612,1008,Verdana-Bold,#000,108,167,121,131,121,,,
O,I-Titre,DE,1,612,1008,Verdana-Bold,#000,171,186,121,131,121,,,
O,I-Titre,QUÉBEC,1,612,1008,Verdana-Bold,#000,189,235,121,131,121,,,
O,B-Titre,COMTE,1,612,1008,Verdana-Bold,#000,108,147,145,155,145,,,
O,I-Titre,DE,1,612,1008,Verdana-Bold,#000,150,166,145,155,145,,,
O,I-Titre,BERTRAND,1,612,1008,Verdana-Bold,#000,169,231,145,155,145,,,
O,B-Titre,RÈGLEMENT,1,612,1008,Verdana-Bold,#000,249,317,208,218,208,,,
O,I-Titre,NO.,1,612,1008,Verdana-Bold,#000,320,341,208,218,208,,,
B-Numero,I-Titre,1144-2010,1,612,1008,Verdana-Bold,#000,344,406,208,218,208,,,
O,B-Alinea,A,1,612,1008,Verdana,#000,108,114,263,272,263,,,
O,I-Alinea,une,1,612,1008,Verdana,#000,119,136,263,272,263,,,
O,I-Alinea,séance,1,612,1008,Verdana,#000,140,171,263,272,263,,,
O,I-Alinea,ordinaire,1,612,1008,Verdana,#000,176,216,263,272,263,,,
O,I-Alinea,du,1,612,1008,Verdana,#000,221,232,263,272,263,,,
O,I-Alinea,Conseil,1,612,1008,Verdana,#000,237,269,263,272,263,,,
O,I-Alinea,"municipal,",1,612,1008,Verdana,#000,274,321,263,272,263,,,
O,I-Alinea,tenue,1,612,1008,Verdana,#000,325,351,263,272,263,,,
O,I-Alinea,publiquement,1,612,1008,Verdana,#000,356,418,263,272,263,,,
O,I-Alinea,le,1,612,1008,Verdana,#000,422,430,263,272,263,,,
O,I-Alinea,18,1,612,1008,Verdana,#000,435,446,263,272,263,,,
O,I-Alinea,octobre,1,612,1008,Verdana,#000,451,485,263,272,263,,,
O,I-Alinea,2010,1,612,1008,Verdana,#000,489,512,263,272,263,,,
O,I-Alinea,à,1,612,1008,Verdana,#000,517,522,263,272,263,,,
O,I-Alinea,"20h,",1,612,1008,Verdana,#000,527,547,263,272,263,,,
O,I-Alinea,dans,1,612,1008,Verdana,#000,108,129,274,283,274,,,
O,I-Alinea,la,1,612,1008,Verdana,#000,133,141,274,283,274,,,
O,I-Alinea,salle,1,612,1008,Verdana,#000,145,166,274,283,274,,,
O,I-Alinea,du,1,612,1008,Verdana,#000,170,181,274,283,274,,,
O,I-Alinea,Conseil,1,612,1008,Verdana,#000,185,217,274,283,274,,,
O,I-Alinea,Municipal,1,612,1008,Verdana,#000,221,263,274,283,274,,,
O,I-Alinea,située,1,612,1008,Verdana,#000,267,295,274,283,274,,,
O,I-Alinea,au,1,612,1008,Verdana,#000,299,310,274,283,274,,,
O,I-Alinea,1386,1,612,1008,Verdana,#000,314,336,274,283,274,,,
O,I-Alinea,de,1,612,1008,Verdana,#000,340,351,274,283,274,,,
O,I-Alinea,la,1,612,1008,Verdana,#000,355,363,274,283,274,,,
O,I-Alinea,rue,1,612,1008,Verdana,#000,367,382,274,283,274,,,
O,I-Alinea,"Dumouchel,",1,612,1008,Verdana,#000,386,440,274,283,274,,,
O,I-Alinea,"Sainte-Adèle,",1,612,1008,Verdana,#000,444,505,274,283,274,,,
O,I-Alinea,province,1,612,1008,Verdana,#000,509,547,274,283,274,,,
O,I-Alinea,de,1,612,1008,Verdana,#000,108,119,285,294,285,,,
O,I-Alinea,"Québec,",1,612,1008,Verdana,#000,124,161,285,294,285,,,
O,I-Alinea,lieu,1,612,1008,Verdana,#000,165,181,285,294,285,,,
O,I-Alinea,ordinaire,1,612,1008,Verdana,#000,186,226,285,294,285,,,
O,I-Alinea,des,1,612,1008,Verdana,#000,231,246,285,294,285,,,
O,I-Alinea,séances,1,612,1008,Verdana,#000,251,287,285,294,285,,,
O,I-Alinea,à,1,612,1008,Verdana,#000,291,297,285,294,285,,,
O,I-Alinea,laquelle,1,612,1008,Verdana,#000,301,336,285,294,285,,,
O,I-Alinea,étaient,1,612,1008,Verdana,#000,341,372,285,294,285,,,
O,I-Alinea,présents,1,612,1008,Verdana,#000,377,416,285,294,285,,,
O,I-Alinea,Mesdames,1,612,1008,Verdana,#000,420,468,285,294,285,,,
O,I-Alinea,et,1,612,1008,Verdana,#000,472,481,285,294,285,,,
O,I-Alinea,Messieurs,1,612,1008,Verdana,#000,486,530,285,294,285,,,
O,I-Alinea,les,1,612,1008,Verdana,#000,535,547,285,294,285,,,
O,I-Alinea,Conseillers,1,612,1008,Verdana,#000,108,157,295,304,295,,,
O,B-Liste,Nadine,1,612,1008,Verdana,#000,108,139,317,326,317,,,
O,I-Liste,Brière,1,612,1008,Verdana,#000,142,170,317,326,317,,,
O,I-Liste,District,1,612,1008,Verdana,#000,250,282,317,326,317,,,
O,I-Liste,1,1,612,1008,Verdana,#000,285,291,317,326,317,,,
O,B-Liste,Lise,1,612,1008,Verdana,#000,108,126,328,337,328,,,
O,I-Liste,Gendron,1,612,1008,Verdana,#000,129,167,328,337,328,,,
O,I-Liste,District,1,612,1008,Verdana,#000,250,282,328,337,328,,,
O,I-Liste,3,1,612,1008,Verdana,#000,285,291,328,337,328,,,
O,B-Liste,John,1,612,1008,Verdana,#000,108,129,339,348,339,,,
O,I-Liste,Butler,1,612,1008,Verdana,#000,132,159,339,348,339,,,
O,I-Liste,District,1,612,1008,Verdana,#000,250,282,339,348,339,,,
O,I-Liste,4,1,612,1008,Verdana,#000,285,291,339,348,339,,,
O,B-Liste,Robert,1,612,1008,Verdana,#000,108,138,350,359,350,,,
O,I-Liste,Lagacé,1,612,1008,Verdana,#000,141,173,350,359,350,,,
O,I-Liste,District,1,612,1008,Verdana,#000,250,282,350,359,350,,,
O,I-Liste,5,1,612,1008,Verdana,#000,285,291,350,359,350,,,
O,B-Liste,Pierre,1,612,1008,Verdana,#000,108,134,361,370,361,,,
O,I-Liste,Morabito,1,612,1008,Verdana,#000,138,177,361,370,361,,,
O,I-Liste,District,1,612,1008,Verdana,#000,250,282,361,370,361,,,
O,I-Liste,6,1,612,1008,Verdana,#000,285,291,361,370,361,,,
O,B-Alinea,sous,1,612,1008,Verdana,#000,108,129,382,391,382,,,
O,I-Alinea,la,1,612,1008,Verdana,#000,132,140,382,391,382,,,
O,I-Alinea,présidence,1,612,1008,Verdana,#000,143,191,382,391,382,,,
O,I-Alinea,de,1,612,1008,Verdana,#000,195,206,382,391,382,,,
O,I-Alinea,Monsieur,1,612,1008,Verdana,#000,209,249,382,391,382,,,
O,I-Alinea,le,1,612,1008,Verdana,#000,253,261,382,391,382,,,
O,I-Alinea,Maire,1,612,1008,Verdana,#000,264,288,382,391,382,,,
O,I-Alinea,Réjean,1,612,1008,Verdana,#000,292,323,382,391,382,,,
O,I-Alinea,Charbonneau.,1,612,1008,Verdana,#000,326,389,382,391,382,,,
O,B-Alinea,Tous,1,612,1008,Verdana,#000,108,129,404,413,404,,,
O,I-Alinea,membres,1,612,1008,Verdana,#000,133,175,404,413,404,,,
O,I-Alinea,dudit,1,612,1008,Verdana,#000,178,201,404,413,404,,,
O,I-Alinea,Conseil,1,612,1008,Verdana,#000,204,237,404,413,404,,,
O,I-Alinea,et,1,612,1008,Verdana,#000,240,249,404,413,404,,,
O,I-Alinea,en,1,612,1008,Verdana,#000,252,263,404,413,404,,,
O,I-Alinea,formant,1,612,1008,Verdana,#000,266,302,404,413,404,,,
O,I-Alinea,le,1,612,1008,Verdana,#000,305,313,404,413,404,,,
O,I-Alinea,quorum.,1,612,1008,Verdana,#000,316,355,404,413,404,,,
O,B-Alinea,Le,1,612,1008,Verdana,#000,108,118,426,435,426,,,
O,I-Alinea,greffier,1,612,1008,Verdana,#000,122,154,426,435,426,,,
O,I-Alinea,fait,1,612,1008,Verdana,#000,158,172,426,435,426,,,
O,I-Alinea,lecture,1,612,1008,Verdana,#000,175,206,426,435,426,,,
O,I-Alinea,du,1,612,1008,Verdana,#000,209,221,426,435,426,,,
O,I-Alinea,règlement,1,612,1008,Verdana,#000,224,270,426,435,426,,,
O,I-Alinea,numéro,1,612,1008,Verdana,#000,273,308,426,435,426,,,
B-Numero,I-Alinea,1144-2010.,1,612,1008,Verdana,#000,311,364,426,435,426,,,
B-Titre,B-Titre,Règlement,1,612,1008,Verdana-Bold,#000,108,162,473,482,473,,,
I-Titre,I-Titre,numéro,1,612,1008,Verdana-Bold,#000,166,205,473,482,473,,,
I-Titre,I-Titre,1144-2010,1,612,1008,Verdana-Bold,#000,208,264,473,482,473,,,
I-Titre,I-Titre,concernant,1,612,1008,Verdana-Bold,#000,267,323,473,482,473,,,
I-Titre,I-Titre,le,1,612,1008,Verdana-Bold,#000,327,336,473,482,473,,,
I-Titre,I-Titre,décret,1,612,1008,Verdana-Bold,#000,339,371,473,482,473,,,
I-Titre,I-Titre,de,1,612,1008,Verdana-Bold,#000,374,387,473,482,473,,,
I-Titre,I-Titre,règles,1,612,1008,Verdana-Bold,#000,390,421,473,482,473,,,
I-Titre,I-Titre,de,1,612,1008,Verdana-Bold,#000,424,436,473,482,473,,,
I-Titre,I-Titre,conduite,1,612,1008,Verdana-Bold,#000,440,483,473,482,473,,,
I-Titre,I-Titre,pour,1,612,1008,Verdana-Bold,#000,487,510,473,482,473,,,
I-Titre,I-Titre,l’accès,1,612,1008,Verdana-Bold,#000,513,547,473,482,473,,,
I-Titre,I-Titre,au,1,612,1008,Verdana-Bold,#000,108,120,483,492,483,,,
I-Titre,I-Titre,parc,1,612,1008,Verdana-Bold,#000,123,146,483,492,483,,,
I-Titre,I-Titre,canin,1,612,1008,Verdana-Bold,#000,149,176,483,492,483,,,
I-Titre,I-Titre,aménagé,1,612,1008,Verdana-Bold,#000,179,225,483,492,483,,,
I-Titre,I-Titre,dans,1,612,1008,Verdana-Bold,#000,228,252,483,492,483,,,
I-Titre,I-Titre,une,1,612,1008,Verdana-Bold,#000,255,274,483,492,483,,,
I-Titre,I-Titre,partie,1,612,1008,Verdana-Bold,#000,277,307,483,492,483,,,
I-Titre,I-Titre,du,1,612,1008,Verdana-Bold,#000,310,323,483,492,483,,,
I-Titre,I-Titre,parc,1,612,1008,Verdana-Bold,#000,326,348,483,492,483,,,
I-Titre,I-Titre,Claude-Cardinal.,1,612,1008,Verdana-Bold,#000,351,435,483,492,483,,,
O,B-Alinea,ATTENDU,1,612,1008,Verdana,#000,108,151,530,539,530,,,
O,I-Alinea,QUE,1,612,1008,Verdana,#000,155,174,530,539,530,,,
O,I-Alinea,l'avis,1,612,1008,Verdana,#000,177,200,530,539,530,,,
O,I-Alinea,de,1,612,1008,Verdana,#000,204,215,530,539,530,,,
O,I-Alinea,motion,1,612,1008,Verdana,#000,218,249,530,539,530,,,
O,I-Alinea,du,1,612,1008,Verdana,#000,253,264,530,539,530,,,
O,I-Alinea,présent,1,612,1008,Verdana,#000,268,302,530,539,530,,,
O,I-Alinea,règlement,1,612,1008,Verdana,#000,305,351,530,539,530,,,
O,I-Alinea,a,1,612,1008,Verdana,#000,354,360,530,539,530,,,
O,I-Alinea,été,1,612,1008,Verdana,#000,363,378,530,539,530,,,
O,I-Alinea,donné,1,612,1008,Verdana,#000,381,409,530,539,530,,,
O,I-Alinea,lors,1,612,1008,Verdana,#000,412,429,530,539,530,,,
O,I-Alinea,de,1,612,1008,Verdana,#000,432,443,530,539,530,,,
O,I-Alinea,la,1,612,1008,Verdana,#000,446,454,530,539,530,,,
O,I-Alinea,séance,1,612,1008,Verdana,#000,458,489,530,539,530,,,
O,I-Alinea,ordinaire,1,612,1008,Verdana,#000,492,533,530,539,530,,,
O,I-Alinea,du,1,612,1008,Verdana,#000,536,547,530,539,530,,,
O,I-Alinea,20,1,612,1008,Verdana,#000,108,119,541,550,541,,,
O,I-Alinea,septembre,1,612,1008,Verdana,#000,123,171,541,550,541,,,
O,I-Alinea,2010,1,612,1008,Verdana,#000,174,197,541,550,541,,,
O,I-Alinea,par,1,612,1008,Verdana,#000,200,215,541,550,541,,,
O,I-Alinea,Madame,1,612,1008,Verdana,#000,218,256,541,550,541,,,
O,I-Alinea,la,1,612,1008,Verdana,#000,259,267,541,550,541,,,
O,I-Alinea,Conseillère,1,612,1008,Verdana,#000,270,320,541,550,541,,,
O,I-Alinea,Lise,1,612,1008,Verdana,#000,323,340,541,550,541,,,
O,I-Alinea,Gendron.,1,612,1008,Verdana,#000,344,385,541,550,541,,,
O,B-Alinea,QU'IL,1,612,1008,Verdana-Bold,#000,108,137,563,572,563,,,
O,I-Alinea,SOIT,1,612,1008,Verdana-Bold,#000,140,165,563,572,563,,,
O,I-Alinea,STATUÉ,1,612,1008,Verdana-Bold,#000,168,207,563,572,563,,,
O,I-Alinea,ET,1,612,1008,Verdana-Bold,#000,210,222,563,572,563,,,
O,I-Alinea,ORDONNÉ,1,612,1008,Verdana-Bold,#000,225,277,563,572,563,,,
O,I-Alinea,PAR,1,612,1008,Verdana-Bold,#000,280,300,563,572,563,,,
O,I-Alinea,LE,1,612,1008,Verdana-Bold,#000,303,315,563,572,563,,,
O,I-Alinea,PRÉSENT,1,612,1008,Verdana-Bold,#000,318,364,563,572,563,,,
O,I-Alinea,RÈGLEMENT,1,612,1008,Verdana-Bold,#000,367,428,563,572,563,,,
O,I-Alinea,CE,1,612,1008,Verdana-Bold,#000,431,444,563,572,563,,,
O,I-Alinea,QUI,1,612,1008,Verdana-Bold,#000,447,467,563,572,563,,,
O,I-Alinea,"SUIT,",1,612,1008,Verdana-Bold,#000,470,498,563,572,563,,,
O,I-Alinea,à,1,612,1008,Verdana-Bold,#000,501,507,563,572,563,,,
O,I-Alinea,savoir:,1,612,1008,Verdana-Bold,#000,510,544,563,572,563,,,
O,I-Article,ARTICLE,1,612,1008,Verdana-Bold,#000,108,151,585,594,585,,,
O,I-Article,1,1,612,1008,Verdana-Bold,#000,154,161,585,594,585,,,
O,B-Alinea,Le,1,612,1008,Verdana,#000,180,190,585,594,585,,,
O,I-Alinea,Conseil,1,612,1008,Verdana,#000,194,226,585,594,585,,,
O,I-Alinea,décrète,1,612,1008,Verdana,#000,230,264,585,594,585,,,
O,I-Alinea,"que,",1,612,1008,Verdana,#000,267,287,585,594,585,,,
O,I-Alinea,pour,1,612,1008,Verdana,#000,290,311,585,594,585,,,
O,I-Alinea,être,1,612,1008,Verdana,#000,314,333,585,594,585,,,
O,I-Alinea,admis,1,612,1008,Verdana,#000,336,363,585,594,585,,,
O,I-Alinea,au,1,612,1008,Verdana,#000,366,377,585,594,585,,,
O,I-Alinea,parc,1,612,1008,Verdana,#000,381,400,585,594,585,,,
O,I-Alinea,canin,1,612,1008,Verdana,#000,404,428,585,594,585,,,
O,I-Alinea,aménagé,1,612,1008,Verdana,#000,431,473,585,594,585,,,
O,I-Alinea,dans,1,612,1008,Verdana,#000,476,498,585,594,585,,,
O,I-Alinea,une,1,612,1008,Verdana,#000,501,518,585,594,585,,,
O,I-Alinea,partie,1,612,1008,Verdana,#000,521,547,585,594,585,,,
O,I-Alinea,du,1,612,1008,Verdana,#000,180,191,595,604,595,,,
O,I-Alinea,parc,1,612,1008,Verdana,#000,196,215,595,604,595,,,
O,I-Alinea,"Claude-Cardinal,",1,612,1008,Verdana,#000,220,296,595,604,595,,,
O,I-Alinea,les,1,612,1008,Verdana,#000,300,313,595,604,595,,,
O,I-Alinea,obligations,1,612,1008,Verdana,#000,318,366,595,604,595,,,
O,I-Alinea,suivantes,1,612,1008,Verdana,#000,371,414,595,604,595,,,
O,I-Alinea,doivent,1,612,1008,Verdana,#000,419,452,595,604,595,,,
O,I-Alinea,être,1,612,1008,Verdana,#000,457,475,595,604,595,,,
O,I-Alinea,respectées,1,612,1008,Verdana,#000,479,528,595,604,595,,,
O,I-Alinea,par,1,612,1008,Verdana,#000,532,547,595,604,595,,,
O,I-Alinea,tout,1,612,1008,Verdana,#000,180,198,606,615,606,,,
O,I-Alinea,propriétaire,1,612,1008,Verdana,#000,202,254,606,615,606,,,
O,I-Alinea,de,1,612,1008,Verdana,#000,258,269,606,615,606,,,
O,I-Alinea,chien,1,612,1008,Verdana,#000,272,296,606,615,606,,,
O,I-Alinea,ou,1,612,1008,Verdana,#000,299,311,606,615,606,,,
O,I-Alinea,gardien,1,612,1008,Verdana,#000,314,348,606,615,606,,,
O,I-Alinea,de,1,612,1008,Verdana,#000,351,362,606,615,606,,,
O,I-Alinea,"celui-ci,",1,612,1008,Verdana,#000,365,401,606,615,606,,,
O,I-Alinea,tel,1,612,1008,Verdana,#000,404,415,606,615,606,,,
O,I-Alinea,qu’il,1,612,1008,Verdana,#000,419,437,606,615,606,,,
O,I-Alinea,appert,1,612,1008,Verdana,#000,441,470,606,615,606,,,
O,I-Alinea,à,1,612,1008,Verdana,#000,473,479,606,615,606,,,
O,I-Alinea,l’annexe,1,612,1008,Verdana,#000,482,520,606,615,606,,,
O,I-Alinea,«,1,612,1008,Verdana,#000,523,529,606,615,606,,,
O,I-Alinea,A,1,612,1008,Verdana,#000,532,538,606,615,606,,,
O,I-Alinea,»,1,612,1008,Verdana,#000,541,547,606,615,606,,,
O,I-Alinea,du,1,612,1008,Verdana,#000,180,191,617,626,617,,,
O,I-Alinea,présent,1,612,1008,Verdana,#000,194,229,617,626,617,,,
O,I-Alinea,règlement.,1,612,1008,Verdana,#000,232,281,617,626,617,,,
O,B-Article,ARTICLE,1,612,1008,Verdana-Bold,#000,108,151,650,659,650,,,
O,I-Article,2,1,612,1008,Verdana-Bold,#000,154,161,650,659,650,,,
O,B-Liste,a),1,612,1008,Verdana-Bold,#000,167,177,650,659,650,,,
O,I-Liste,Toute,1,612,1008,Verdana,#000,180,206,650,659,650,,,
O,I-Liste,personne,1,612,1008,Verdana,#000,210,251,650,659,650,,,
O,I-Liste,qui,1,612,1008,Verdana,#000,255,269,650,659,650,,,
O,I-Liste,contrevient,1,612,1008,Verdana,#000,273,324,650,659,650,,,
O,I-Liste,au,1,612,1008,Verdana,#000,328,339,650,659,650,,,
O,I-Liste,présent,1,612,1008,Verdana,#000,343,377,650,659,650,,,
O,I-Liste,règlement,1,612,1008,Verdana,#000,381,427,650,659,650,,,
O,I-Liste,commet,1,612,1008,Verdana,#000,431,467,650,659,650,,,
O,I-Liste,une,1,612,1008,Verdana,#000,471,488,650,659,650,,,
O,I-Liste,infraction,1,612,1008,Verdana,#000,492,535,650,659,650,,,
O,I-Liste,et,1,612,1008,Verdana,#000,538,547,650,659,650,,,
O,I-Liste,est,1,612,1008,Verdana,#000,180,194,661,670,661,,,
O,I-Liste,passible,1,612,1008,Verdana,#000,200,237,661,670,661,,,
O,I-Liste,d’une,1,612,1008,Verdana,#000,244,268,661,670,661,,,
O,I-Liste,amende,1,612,1008,Verdana,#000,275,311,661,670,661,,,
O,I-Liste,minimale,1,612,1008,Verdana,#000,318,360,661,670,661,,,
O,I-Liste,de,1,612,1008,Verdana,#000,367,378,661,670,661,,,
O,I-Liste,CENT,1,612,1008,Verdana,#000,385,409,661,670,661,,,
O,I-Liste,DOLLARS,1,612,1008,Verdana,#000,416,458,661,670,661,,,
O,I-Liste,(100$),1,612,1008,Verdana,#000,465,496,661,670,661,,,
O,I-Liste,pour,1,612,1008,Verdana,#000,503,524,661,670,661,,,
O,I-Liste,une,1,612,1008,Verdana,#000,531,547,661,670,661,,,
O,I-Liste,première,1,612,1008,Verdana,#000,180,221,671,680,671,,,
O,I-Liste,infraction,1,612,1008,Verdana,#000,225,268,671,680,671,,,
O,I-Liste,si,1,612,1008,Verdana,#000,272,279,671,680,671,,,
O,I-Liste,le,1,612,1008,Verdana,#000,284,292,671,680,671,,,
O,I-Liste,contrevenant,1,612,1008,Verdana,#000,296,356,671,680,671,,,
O,I-Liste,est,1,612,1008,Verdana,#000,361,374,671,680,671,,,
O,I-Liste,une,1,612,1008,Verdana,#000,379,395,671,680,671,,,
O,I-Liste,personne,1,612,1008,Verdana,#000,400,442,671,680,671,,,
O,I-Liste,"physique,",1,612,1008,Verdana,#000,446,490,671,680,671,,,
O,I-Liste,et,1,612,1008,Verdana,#000,495,503,671,680,671,,,
O,I-Liste,de,1,612,1008,Verdana,#000,508,519,671,680,671,,,
O,I-Liste,CINQ,1,612,1008,Verdana,#000,523,547,671,680,671,,,
O,I-Liste,CENT,1,612,1008,Verdana,#000,180,204,682,691,682,,,
O,I-Liste,DOLLARS,1,612,1008,Verdana,#000,208,251,682,691,682,,,
O,I-Liste,(500$),1,612,1008,Verdana,#000,255,286,682,691,682,,,
O,I-Liste,pour,1,612,1008,Verdana,#000,290,311,682,691,682,,,
O,I-Liste,une,1,612,1008,Verdana,#000,315,331,682,691,682,,,
O,I-Liste,première,1,612,1008,Verdana,#000,335,376,682,691,682,,,
O,I-Liste,infraction,1,612,1008,Verdana,#000,380,422,682,691,682,,,
O,I-Liste,si,1,612,1008,Verdana,#000,426,434,682,691,682,,,
O,I-Liste,le,1,612,1008,Verdana,#000,438,446,682,691,682,,,
O,I-Liste,contrevenant,1,612,1008,Verdana,#000,450,509,682,691,682,,,
O,I-Liste,est,1,612,1008,Verdana,#000,513,527,682,691,682,,,
O,I-Liste,une,1,612,1008,Verdana,#000,531,547,682,691,682,,,
O,I-Liste,personne,1,612,1008,Verdana,#000,180,222,693,702,693,,,
O,I-Liste,"morale,",1,612,1008,Verdana,#000,225,260,693,702,693,,,
O,I-Liste,et,1,612,1008,Verdana,#000,263,272,693,702,693,,,
O,I-Liste,d’un,1,612,1008,Verdana,#000,276,295,693,702,693,,,
O,I-Liste,minimum,1,612,1008,Verdana,#000,299,341,693,702,693,,,
O,I-Liste,de,1,612,1008,Verdana,#000,345,356,693,702,693,,,
O,I-Liste,TROIS,1,612,1008,Verdana,#000,359,388,693,702,693,,,
O,I-Liste,CENTS,1,612,1008,Verdana,#000,392,422,693,702,693,,,
O,I-Liste,DOLLARS,1,612,1008,Verdana,#000,426,468,693,702,693,,,
O,I-Liste,(300$),1,612,1008,Verdana,#000,472,503,693,702,693,,,
